Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
2-pack-cotton-sweatshirts-mantri-mall,2-pack cotton sweatshirts,,,Clothing,,"Clothing, baby, Mantri Mall",TRUE,Size,004,,,,,,,shopify,1000.0,deny,manual,1299.00,,,,,https://image.hm.com/assets/hm/54/33/543312810820b738bd7f41b63be8879ca253eb7e.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
2-pack-cotton-sweatshirts-mantri-mall,,,,,,,,Size,005,,,,,,,shopify,2000.0,deny,manual,1299.00,,,,,https://image.hm.com/assets/hm/72/b9/72b9087a3555d95a388d6d85c806f6db86ee77de.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
2-pack-cotton-sweatshirts-prestige-falcon-city,2-pack cotton sweatshirts,,,Clothing,,"Clothing, baby, Prestige Falcon city",TRUE,Size,008,,,,,,,shopify,2000.0,deny,manual,1299.00,,,,,https://image.hm.com/assets/hm/54/33/543312810820b738bd7f41b63be8879ca253eb7e.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
2-pack-cotton-sweatshirts-prestige-falcon-city,,,,,,,,Size,009,,,,,,,shopify,1000.0,deny,manual,1299.00,,,,,https://image.hm.com/assets/hm/72/b9/72b9087a3555d95a388d6d85c806f6db86ee77de.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
3-pack-sleeveless-bodysuits-prestige-falcon-city,3-pack sleeveless bodysuits,,,Clothing,,"Clothing, baby, Prestige Falcon city",TRUE,Size,005,,,,,,,shopify,1000.0,deny,manual,999.00,,,,,https://image.hm.com/assets/hm/ab/48/ab48149e238632e09d7c13087ef686da0548ab9d.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
3-pack-sleeveless-bodysuits-prestige-falcon-city,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/60/d9/60d9b6f3a9bf69d411250a04a46ea2301f95775e.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
3-pack-sleeveless-bodysuits-prestige-falcon-city,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/c9/96/c99612a39130e17f3fa8d4b472d3c82012966627.jpg?imwidth=1536,3,,,,,,,,,,,,,,,,,,,,,,,,
3-pack-sleeveless-bodysuits-mantri-mall,3-pack sleeveless bodysuits,,,Clothing,,"Clothing, baby, Mantri Mall",TRUE,Size,006,,,,,,,shopify,1000.0,deny,manual,999.00,,,,,https://image.hm.com/assets/hm/94/6a/946adde5ae5ccee7eb6bc6d7d5eda07071c7cd2f.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
3-pack-sleeveless-bodysuits-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/fb/18/fb1816949e7a3feb55190c3eaa213d96e099ed72.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
2-pack-leggings-1mg-mall,2-pack leggings,,,Clothing,,"Clothing, baby, 1MG Mall",TRUE,Size,005,,,,,,,shopify,1000.0,deny,manual,999.00,,,,,https://image.hm.com/assets/hm/bf/e5/bfe54ae72477baa6813ba37c9180c428e34efbe4.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
2-pack-leggings-1mg-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/a8/44/a8448870f84d8fa5a63ebbce288435e5f4a01b72.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
