Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
1143786016-prestige-falcon-city,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/67/03/6703031d8d0a8ee33c7001c61e58b2c7bff677f7.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
1220391007-1mg-mall,Cap,,,Accessories,,"Accessories, kids, 1MG Mall",TRUE,Size,049,,,,,,,shopify,1000.0,deny,manual,799.00,,,,,https://image.hm.com/assets/hm/73/e4/73e47b1d341fab9ed84c08dab95db3625025e13f.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
1220391007-1mg-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/70/54/7054d6baea3fa0c1b1746f69fb6242d859714a1e.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
1220391007-1mg-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/d0/0d/d00dac1f41209b89ccaa48b3d4b5f9f04595e104.jpg?imwidth=1536,3,,,,,,,,,,,,,,,,,,,,,,,,
1220391007-prestige-falcon-city,Cap,,,Accessories,,"Accessories, kids, Prestige Falcon city",TRUE,Size,049,,,,,,,shopify,3000.0,deny,manual,799.00,,,,,https://image.hm.com/assets/hm/73/e4/73e47b1d341fab9ed84c08dab95db3625025e13f.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
1220391007-prestige-falcon-city,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/70/54/7054d6baea3fa0c1b1746f69fb6242d859714a1e.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
1220391007-prestige-falcon-city,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/d0/0d/d00dac1f41209b89ccaa48b3d4b5f9f04595e104.jpg?imwidth=1536,3,,,,,,,,,,,,,,,,,,,,,,,,
1229120002-1mg-mall,Backpack,,,Accessories,,"Accessories, kids, 1MG Mall",TRUE,Size,001,,,,,,,shopify,3000.0,deny,manual,1999.00,,,,,https://image.hm.com/assets/hm/4e/78/4e782144ccff7b67e8e787968cf18f1fcbaa4a1b.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
1229120002-1mg-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/48/68/4868242292c3fa2d88a861642f7f1320a8072057.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
1229120002-1mg-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/bb/7e/bb7e03446ed094f0395db92fb6ca6fa76950de1e.jpg?imwidth=1536,3,,,,,,,,,,,,,,,,,,,,,,,,
1229120002-1mg-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/16/53/1653e28c4cc002abda024453a5af59c2885d5404.jpg?imwidth=1536,4,,,,,,,,,,,,,,,,,,,,,,,,
1229120002-mantri-mall,Backpack,,,Accessories,,"Accessories, kids, Mantri Mall",TRUE,Size,001,,,,,,,shopify,3000.0,deny,manual,1999.00,,,,,https://image.hm.com/assets/hm/4e/78/4e782144ccff7b67e8e787968cf18f1fcbaa4a1b.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
1229120002-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/48/68/4868242292c3fa2d88a861642f7f1320a8072057.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
1229120002-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/bb/7e/bb7e03446ed094f0395db92fb6ca6fa76950de1e.jpg?imwidth=1536,3,,,,,,,,,,,,,,,,,,,,,,,,
1229120002-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/16/53/1653e28c4cc002abda024453a5af59c2885d5404.jpg?imwidth=1536,4,,,,,,,,,,,,,,,,,,,,,,,,
1229120002-prestige-falcon-city,Backpack,,,Accessories,,"Accessories, kids, Prestige Falcon city",TRUE,Size,001,,,,,,,shopify,3000.0,deny,manual,1999.00,,,,,https://image.hm.com/assets/hm/4e/78/4e782144ccff7b67e8e787968cf18f1fcbaa4a1b.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
1229120002-prestige-falcon-city,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/48/68/4868242292c3fa2d88a861642f7f1320a8072057.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
